,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
734,11.230528999999999,28.270528999999996,20.601361999999998,31,70,50.125,1013.5,1017.1,1015.3666400000001,505.31705,7.92,21.599998,15.434998,4.161301,12.889466,8.140236
735,18.62053,31.750528000000003,24.888443,26,71,44.166668,1014.4,1016.8,1015.7542,762.932,0.71999997,24.48,13.364999,3.5840454,12.340964,7.4360576
736,18.72053,32.61053,26.522615000000002,28,62,44.875,1016.0,1018.7,1017.6084,954.99994,2.52,17.64,11.204999,4.212154,10.0281105,6.5911083
737,21.280529,35.62053,27.716362,19,62,38.333332,1014.6,1018.6,1016.8083,669.53754,1.4399998999999999,25.919998,11.954998,2.4560864,13.977751000000001,6.115516
739,18.31053,30.90053,24.702194,38,85,60.83333199999999,1018.6,1022.6,1021.1376300000001,685.94244,5.3999996,29.88,15.615001000000001,0.37674650000000004,17.324194,8.161353
740,16.760529000000002,29.21053,23.671366,44,90,62.08333199999999,1020.0,1024.5,1022.2834,617.14886,7.559999499999999,20.16,12.149999000000001,5.7012089999999995,14.476579999999998,8.744951
741,16.240528,27.170528000000004,22.113861,39,86,58.20833199999999,1016.2,1020.8,1018.73755,909.5158,5.3999996,30.599998,12.93,1.0983953000000002,13.893723499999998,8.258197000000001
742,12.930529,23.31053,18.815947,40,80,57.29166800000001,1013.8,1017.9,1015.6958,620.5093400000001,8.64,22.319998000000002,15.66,1.6848617,18.371942999999998,9.902433
744,10.030529,23.38053,17.89803,32,81,53.875,1015.5,1018.7,1016.9749,610.8223,11.519999499999999,20.519999,16.875,0.79920006,12.859147,7.283657000000001
745,12.590529,21.760529000000002,17.540113,40,85,59.54166800000001,1015.4,1018.8,1017.1751,195.01453999999998,6.8399997,24.119999,15.54,4.5288,15.923945000000002,8.165766
746,13.000529,23.660528,18.98178,37,78,54.91666800000001,1016.0,1017.8,1016.97504,658.9849,5.3999996,18.0,13.709998,0.0,9.802651,5.082778500000001
747,13.410529,24.72053,19.448446,34,75,54.08333199999999,1016.1,1018.9,1017.41254,502.65775,5.7599998,15.84,9.8099985,0.0,10.084567999999999,6.2926154
748,15.060529,21.40053,18.706362,47,68,55.33333199999999,1016.1,1018.0,1016.9417,767.3999,7.2,21.96,15.375,4.13564,13.731879999999999,9.128674499999999
749,11.920529,24.330528,18.376364000000002,34,82,55.25,1014.9,1018.9,1016.89185,838.0618,4.68,16.919998,11.31,0.0,9.112282,4.382994999999999
750,14.290529000000001,27.500528000000003,20.763030999999998,32,65,49.666668,1016.0,1018.2,1017.15845,501.06384,4.32,19.8,12.404999,0.2664,10.123199000000001,4.7975345
753,13.910529,23.12053,18.809694,42,77,57.20833199999999,1009.4,1014.0,1011.3542,791.6328,3.2399998,23.4,11.97,1.9394212,18.38353,8.43191
754,11.660528999999999,23.270529,18.402197,28,72,48.375,1012.4,1015.1,1013.85004,889.9167,2.52,19.44,10.65,0.9605189000000001,9.623643,4.913819
755,14.510529,26.170528,20.659697,32,59,44.708332,1014.1,1017.5,1015.6166400000001,594.7034,2.16,25.56,11.834999,1.3319999999999999,11.389961999999999,5.5420110000000005
759,10.990528999999999,24.330528,18.48178,33,74,51.458332,1014.5,1018.2,1016.35406,930.153,2.52,15.84,9.794999,2.4560866000000003,8.541433999999999,5.0459614
761,12.900528999999999,28.45053,20.964277,24,83,54.875,1019.3,1024.6,1022.6501,917.8525400000001,9.36,20.16,13.41,4.295571,12.7927475,8.453926
773,14.160529,25.70053,20.203863000000002,36,91,60.08333199999999,1018.7,1020.7,1019.7166,781.82733,1.08,11.159999000000001,6.6750007,1.0983953000000002,7.907189999999999,4.4725839999999994
774,16.72053,28.240528,23.112616,41,64,52.375,1018.4,1020.9,1019.8667,805.1883,0.71999997,11.519999499999999,6.899999,0.5328,5.2339296,2.734746
