,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,precipipitation,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
128,-1.3294713,10.570528999999999,6.531779,68,99,78.375,1003.2,1008.2,1005.0708,1.1,8.936169999999999,12.24,90.36,61.74,9.0732565,36.570614,22.983727
129,7.8105288,13.620529000000001,10.957611,64,93,76.458336,1005.4,1010.8,1008.74994,2.5,0.0,6.8399997,83.15999599999999,42.3,4.161301,31.255203,13.240948999999999
131,2.8705285,10.500529,8.003863,54,97,80.375,1009.3,1019.3,1012.7166,12.700001,0.0,6.12,51.48,27.885,3.5039446000000005,16.93265,8.948688
133,1.0505286,8.140528999999999,3.8634453,63,96,85.708336,1009.5,1016.5,1012.89575,2.1,102.43422,2.16,57.96,19.949999,2.1477854,21.097804999999997,9.310357000000002
134,4.5505285,9.380529,6.1363616,68,92,83.5,1016.2,1023.3,1020.64575,1.8,0.0,5.3999996,47.16,22.5,1.6848617,11.188799000000001,7.702862
135,9.370529,13.500529,11.279278999999999,74,82,78.666664,1017.5,1019.3,1018.2708,0.4,0.0,43.199996999999996,63.72,55.320004000000004,7.1730394,22.226446,16.517813
141,0.21052867,6.0505285,3.5901117,70,94,84.666664,1026.5,1030.2,1028.8751,0.1,262.95105,3.6,33.12,22.814997,1.5533656,15.268694,10.086499
148,1.3705287,6.540529,3.4317787,69,93,82.208336,1007.8,1014.3,1010.4501300000001,1.7,52.978725,3.2399998,54.36,23.865,1.1913770000000001,21.398405,11.323941
156,-2.2994714,5.4305286,1.2821951999999999,57,91,73.75,1028.6,1031.6,1030.5166,0.5,107.52219,2.16,11.159999000000001,4.8299994,1.5533656,6.791894,3.1773439999999997
164,6.0505285,13.760529,9.337196,49,88,62.75,1015.5,1020.1,1018.0457,0.2,241.54538,0.35999998,18.72,8.085,0.5328,9.304952,4.927542
168,4.2105284,8.970528999999999,6.6692796,70,95,83.666664,999.3,1007.5,1002.6001,2.8999999,0.0,3.96,39.239998,18.615,1.5984001,16.621738,7.7586474
173,2.4105287,4.8005285,3.6976117999999993,73,94,88.333336,1011.8,1015.1,1013.45416,9.8,0.0,1.08,20.519999,7.0049996,0.79920006,7.4210449999999994,4.1178612999999995
174,0.87052864,6.0305285,3.7088620000000003,73,97,88.25,1013.5,1016.6,1014.8333,1.2,0.0,2.52,19.44,8.745,0.2664,7.907189999999999,4.461595
179,1.5905286,11.010529,5.6901116,60,97,83.25,1015.5,1027.1,1020.6167,1.6,0.0,1.08,44.28,20.43,2.2761226000000003,18.8015,9.204991999999999
180,3.6605287000000004,8.110529,5.9892783,73,93,84.625,1013.5,1019.4,1015.9126,2.0,33.170215999999996,15.480000500000001,41.760002,25.755,5.327999999999999,16.512503,11.066783000000001
182,8.890528999999999,13.900529,10.874696,71,95,85.958336,1022.6,1025.3,1023.4793,11.3,17.679434,5.3999996,46.44,24.33,3.4631998999999998,22.417208,11.300353999999999
184,9.140528999999999,25.010529000000002,18.932195999999998,55,96,70.75,1017.8,1023.5,1020.8208599999999,0.5,448.7177,1.4399998999999999,44.28,15.659997,2.0806506000000002,11.748814,6.809292299999999
185,14.860529000000001,24.20053,20.020113000000002,62,97,76.416664,1013.1,1017.7,1015.4539,0.8,351.76592999999997,2.16,29.16,9.449997999999999,0.5328,10.389600999999999,5.24894
186,14.340529,24.81053,19.852194,55,89,71.333336,1007.8,1013.1,1009.9458599999999,0.4,552.37854,1.4399998999999999,19.8,9.03,0.9605189000000001,9.697107,4.873621
187,14.290529000000001,20.45053,17.63803,61,94,74.125,1006.9,1009.0,1007.87506,2.4,188.8085,5.04,15.84,9.734999,0.0,9.827957000000001,5.3912635
188,12.980528999999999,24.04053,18.36928,53,94,75.875,1003.4,1009.0,1005.5292400000001,2.1,344.77905,3.96,21.24,9.675,2.2916594,11.305533,6.1751485
189,12.860529,16.64053,14.768863,77,95,84.5,1005.0,1013.0,1008.3083,4.7,40.212765000000005,5.3999996,40.32,21.104998000000002,1.3583788,16.217613,8.525993
191,11.140528999999999,20.30053,15.485111999999999,51,84,70.458336,1013.8,1017.7,1015.8833,1.0,527.2057,1.8,32.760002,9.405,1.0983953000000002,14.1066265,4.982458599999999
192,11.8005295,17.47053,14.767197,58,90,74.458336,1016.8,1019.3,1018.01245,0.1,183.19148,6.8399997,31.319998,17.115,4.075136,12.280433,8.983286999999999
194,14.220529,18.72053,16.519695000000002,64,95,79.25,1016.1,1019.3,1017.43744,2.6000001,425.63864,1.4399998999999999,19.44,10.77,1.1913770000000001,10.393015,5.3963714000000005
195,13.980529,21.530529,18.04511,65,90,76.875,1018.0,1019.6,1018.8167,0.1,581.03156,2.16,15.119998999999998,8.294999,1.3319999999999999,10.9839525,5.4229519999999996
197,14.850529000000002,22.410528,18.238863000000002,64,98,80.5,1014.3,1018.1,1015.8333,5.4999995,62.553192,2.52,49.68,11.249999,2.2761226000000003,22.706595999999998,5.7611165
198,12.160528999999999,24.730529999999998,18.507195,52,95,75.583336,1006.7,1018.5,1013.6917,1.3,157.78723,0.71999997,30.599998,11.805,1.0656,14.9112625,5.936506700000001
199,11.510529,18.840528,15.943863,60,88,72.083336,1008.3,1014.5,1010.88324,7.2000003,283.12057000000004,27.0,68.4,39.3,6.2134624,20.616329999999998,14.044578
200,10.5505295,17.080528,13.633029,56,81,69.541664,1014.1,1020.1,1016.75,0.4,493.76523,12.959999,48.96,39.464993,7.619225999999999,22.379185,16.379333
203,16.230529999999998,26.55053,20.369695999999998,50,97,77.0,1012.6,1018.4,1015.3626,8.599999,112.02376000000001,1.8,38.519997,16.259998,0.7534930000000001,20.566357,7.913894
204,13.900529,20.54053,17.042196,51,92,70.416664,1018.3,1021.3,1019.16254,0.3,545.82947,8.64,32.760002,20.894999,3.0374272,14.321323000000001,9.311337
210,16.590528,24.860529,22.260946,62,91,75.25,1013.5,1018.9,1016.071,1.3000001,163.37192,4.32,53.639996,21.044998,1.9394212,19.7136,11.03608
211,13.710529000000001,19.940529,16.904276,55,94,75.666664,1018.9,1022.0,1020.4209,9.5,731.023,13.679998999999999,34.92,21.749998,5.694980999999999,14.181891,11.067524
217,16.05053,23.440529,20.748028,56,81,66.583336,1010.6,1012.1,1011.41254,0.3,659.123,1.8,25.199999,13.664998,1.9394212,15.250091000000001,7.913564699999999
218,15.090529,23.04053,18.831357999999998,64,93,81.875,1007.9,1012.8,1010.67505,2.8999999,49.276596000000005,1.08,24.48,8.594998,1.4346079,12.035266,4.932524
219,13.000529,22.750528,18.03886,59,88,74.833336,1010.2,1015.0,1013.7792400000001,1.8,702.3971,1.4399998999999999,55.079997999999996,10.980002,0.2664,19.7208,4.3121514
220,16.430529,25.670528,21.378861999999998,55,91,69.916664,1014.6,1018.8,1016.36255,0.4,670.2478,3.6,24.48,11.505001,2.3976,12.0940895,6.7899814
221,17.420528,22.250528,19.399694,80,92,85.708336,1016.0,1019.1,1017.75,6.7000003,125.41543,2.52,29.88,8.31,0.5956885000000001,11.157041,4.5070295
