,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,precipipitation,snowfall,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean,label
968,15.130529000000001,22.760529000000002,18.883863,35,74,54.58333199999999,1010.0,1013.0,1011.51666,0.0,0.0,404.88507000000004,14.4,38.16,30.495,4.5833187,21.870773,14.791509,2
969,15.120529000000001,19.030529,17.024696,55,84,68.291664,1009.6,1014.8,1011.76666,2.8,0.0,238.06737,8.64,25.919998,18.644997,0.5956885000000001,13.061753,7.5177307,3
970,11.610529,20.750528,16.38428,42,80,61.29166800000001,1014.9,1017.8,1016.02496,0.0,0.0,817.4552,2.8799999,25.199999,14.205001000000001,1.5533656,11.775965,6.2421303,0
971,9.860529,24.520529,17.698446,34,81,57.66666800000001,1011.5,1018.9,1015.55835,0.0,0.0,471.59717,2.16,26.28,13.589998999999999,0.84243083,13.651537,6.576613,0
972,14.700529000000001,24.410528,19.528028,46,85,67.0,1012.8,1017.6,1014.76227,4.1,0.0,158.29787,3.6,23.4,10.905,1.7057923,10.609278,4.2777543,5
973,17.13053,27.260529,21.733444,44,88,66.958336,1015.9,1019.5,1017.8167,0.0,0.0,685.745,5.04,24.48,13.634998000000001,2.9424841,13.397034,6.880872200000001,0
974,16.070529999999998,31.170528000000004,23.918032,35,82,59.41666800000001,1014.7,1017.7,1016.37085,0.0,0.0,893.46454,1.8,21.96,10.829999,0.79920006,8.223953999999999,5.183303400000001,0
975,17.500528,25.760529000000002,21.911362,49,85,70.291664,1013.9,1018.6,1015.97095,0.6,0.0,376.59252999999995,6.12,28.8,16.500002,0.5956885000000001,17.186413,7.329796000000001,5
976,16.05053,30.180528999999996,23.401781,40,90,66.791664,1013.7,1018.7,1016.4873699999999,0.0,0.0,596.3311,1.8,21.24,12.27,2.3827540000000003,11.578444500000002,7.893776,0
977,18.930529,34.30053,27.235533,27,82,54.5,1014.3,1016.2,1015.1043,0.0,0.0,853.7115,2.16,17.64,9.089999,1.1913770000000001,8.855546,5.8522925,0
978,21.420528,35.77053,28.599695,28,81,54.0,1013.0,1016.3,1014.5999,0.0,0.0,879.56415,2.8799999,18.72,10.124999,0.84243083,7.8395867,4.8086343000000005,0
979,23.360529,32.510529999999996,27.776777000000003,39,78,47.666668,1014.3,1018.5,1016.0417,4.5,0.0,723.6563,8.64,25.199999,17.01,2.1477854,21.311999999999998,9.366242,5
980,19.490528,26.570529999999998,21.616362,59,96,85.666664,1015.3,1018.1,1016.9875,8.1,0.0,0.0,11.519999499999999,22.319998000000002,16.665,3.3697233,17.0496,9.857606,4
981,18.46053,25.29053,21.785111999999998,63,92,78.708336,1014.6,1017.4,1015.52094,1.7,0.0,387.4355,4.68,12.599999,9.150001,0.5328,10.778504,5.524108999999999,4
982,18.010529000000002,28.65053,23.295946,50,94,70.666664,1014.6,1016.8,1015.7373699999999,0.0,0.0,538.1746,2.8799999,17.28,8.775,2.1967907,11.7216,4.529510500000001,0
983,19.820529999999998,30.930528999999996,25.482613,42,87,64.375,1016.7,1018.6,1017.5541400000001,0.0,0.0,852.1510000000001,4.32,13.32,8.88,2.1477854,9.061517,4.849471,0
984,19.250528,32.14053,25.000113,40,79,63.5,1010.3,1017.6,1014.12915,3.6000001000000004,0.0,302.22836,5.04,48.96,14.189998999999998,1.0983953000000002,22.164095,6.0958824,5
985,18.010529000000002,26.06053,21.402193,52,91,73.916664,1009.0,1014.5,1011.0625,2.1999998,0.0,260.60742,2.16,20.16,10.86,0.37674650000000004,12.300642999999999,5.409927,5
986,16.04053,19.430529,17.548447,67,87,78.75,1010.4,1014.0,1011.57916,3.7,0.0,0.0,6.8399997,24.84,15.749997,0.79920006,15.003784,8.153165,4
987,14.100529000000002,18.65053,15.990112,71,94,83.541664,1013.1,1015.3,1013.7749,3.6,0.0,160.21277,3.96,16.919998,11.954998,1.4346079,9.824346,6.7504077,4
988,13.160529,21.330528,17.749279,50,92,69.208336,1011.8,1014.5,1013.3792,0.0,0.0,347.88300000000004,3.6,20.16,12.015,1.5069860000000002,11.892902000000001,7.1856656,2
989,11.500529,22.65053,17.692612,41,73,57.5,1013.2,1017.1,1014.7832599999999,0.0,0.0,795.86584,3.96,22.319998000000002,10.53,0.5956885000000001,8.411661,4.9024186,0
990,12.590529,21.500528,17.0197,51,82,67.291664,1017.4,1021.6,1019.18335,0.0,0.0,572.83154,1.8,13.32,8.400001,0.79920006,8.172013,4.288407299999999,0
991,12.920529,23.45053,18.047611,42,85,65.125,1021.6,1023.8,1022.58344,0.0,0.0,767.5869,5.04,15.84,9.615001,2.4560866000000003,9.320193,4.660700299999999,0
992,13.310529,24.80053,19.05428,44,85,64.333336,1020.7,1024.3,1022.7375,0.0,0.0,837.1669999999999,8.64,20.16,14.07,4.4337797,11.442802,7.5980473,0
993,12.850529,26.280528999999998,19.759695,38,81,60.83333199999999,1013.4,1021.3,1017.6667,0.0,0.0,836.7284,10.799999,21.599998,16.034998,5.7384315,11.636527000000001,8.562674000000001,0
994,14.240529,25.410528,18.473864000000003,49,92,74.708336,1007.6,1013.8,1010.0208,13.899999,0.0,180.709,4.68,32.039997,14.565,2.3827540000000003,12.988194,8.4287815,4
995,15.710529000000001,21.37053,17.56636,55,94,79.666664,1005.7,1012.7,1007.99994,20.6,0.0,69.6344,11.519999499999999,40.68,27.119996999999998,2.6639999999999997,15.823351999999998,11.000256,4
996,11.100529,22.21053,17.204279,40,76,56.08333199999999,1013.6,1019.8,1018.26666,0.0,0.0,828.6269,3.96,35.28,21.164998999999998,1.5984001,13.596843,8.7678995,0
997,12.640528999999999,27.590528000000003,20.135942,37,81,55.70833199999999,1013.9,1020.2,1017.3374,0.0,0.0,815.05444,4.32,25.199999,12.990001,5.2878885,12.418355,9.067839,0
998,15.920529,30.360529,23.345953,32,73,52.041668,1011.4,1016.4,1013.84595,0.0,0.0,672.75964,7.2,33.48,19.14,1.3319999999999999,14.552366000000001,7.254455,0
999,21.080528,30.930528999999996,25.923029,35,65,46.0,1012.9,1019.5,1016.3084,0.0,0.0,778.0178,8.64,35.28,18.014997,0.2664,11.302394,4.9961343000000005,0
1000,18.160528,31.690528999999998,25.667612,44,97,66.791664,1017.5,1022.1,1019.7915,0.0,0.0,783.3486,1.8,14.4,8.129997999999999,0.7534930000000001,6.1272,3.3040532999999996,0
1001,22.160528,32.330529999999996,27.218446999999998,29,80,52.5,1016.6,1019.6,1018.1792,0.0,0.0,806.28723,3.2399998,14.4,7.889999400000001,0.5956885000000001,8.2066765,3.9117480000000002,0
1002,20.81053,32.35053,26.230112,30,65,46.166668,1011.8,1017.4,1015.0334,0.0,0.0,701.60876,2.16,34.2,13.245,0.0,11.566177,5.235396,0
1003,7.8605285,12.040529,9.861778,69,86,76.125,1026.5,1032.3,1029.3583,0.0,0.0,0.0,18.359999,53.28,37.080006,6.579594,28.476153999999998,19.09636,1
1004,6.3605285,11.590529,8.289696000000001,69,97,82.125,1028.9,1032.3,1030.6459,0.0,0.0,282.45,1.8,18.359999,7.694999,1.8837326,7.766828,5.0572968000000005,1
1005,3.7805285000000004,10.3005295,6.0605297,28,96,81.958336,1029.5,1032.7,1031.1752,0.0,0.0,402.1,1.8,12.959999,5.1899996,1.8837326,7.9831147,4.840855,1
1006,4.5705285,8.900528999999999,6.571362,31,94,63.41666800000001,1030.4,1036.9,1033.171,0.1,0.0,2.1270921,4.32,23.759998,13.709999,1.1913770000000001,6.972354400000001,4.9419827000000005,6
1007,6.1105285,9.460529,7.398862400000001,77,96,89.166664,1031.6,1037.1,1034.4166,0.0,0.0,151.2766,1.08,16.919998,7.6650004,0.0,7.684150999999999,3.6424830000000004,1
1008,6.220528599999999,14.390529,9.333446499999999,63,82,75.666664,1029.6,1032.6,1030.979,0.0,0.0,480.43335,7.92,28.8,17.999998,1.5069860000000002,14.395464000000002,6.5449843,1
1009,5.480528400000001,12.520529,8.583446,55,87,75.125,1031.7,1035.8,1033.8875,0.0,0.0,520.05,4.32,15.84,11.264999000000001,3.9603205000000004,9.266738,6.896666000000001,1
1010,4.950528599999999,11.450529,7.702195599999999,63,78,68.0,1031.2,1034.6,1032.9166,0.0,0.0,518.93335,1.8,17.64,7.2899994999999995,3.0374274,6.1503214999999996,4.857144,1
1011,5.250528299999999,9.240528999999999,7.6330295,68,94,85.291664,1032.7,1040.5,1036.7916,4.2999997,0.0,274.20035,5.04,19.08,13.005,2.7812977,10.870295,6.3238970000000005,4
1012,1.3305286,8.590529,4.251778599999999,29,93,72.0,1032.8,1040.0,1035.771,0.0,0.0,515.7259,5.7599998,30.599998,15.464997,4.802594,21.368534,10.195286999999999,1
1013,1.9605286,9.670529,5.535946,55,83,70.708336,1030.4,1033.4,1031.9459,0.0,0.0,387.9396,11.519999499999999,30.239997999999996,22.184995999999998,2.8692157000000003,11.964296000000001,7.404926,1
1014,2.4105287,10.960529,6.6384454,68,90,79.625,1024.8,1031.3,1028.5292,0.0,0.0,382.425,1.4399998999999999,28.44,14.145,1.1913770000000001,9.232211,5.914919,1
1015,2.7105286,8.760529,5.918863,66,90,76.416664,1022.0,1024.9,1023.5332599999999,0.0,0.0,279.10034,6.8399997,20.519999,12.974998,1.8837326,5.068606,3.6679623,1
1016,3.2405286,10.510529,5.9142779999999995,69,94,82.291664,1021.8,1024.5,1022.7209,0.0,0.0,503.0539,2.8799999,21.599998,9.675,4.3935814,9.697106,7.107564999999999,1
1017,3.9205287,10.730528999999999,7.199695599999999,72,86,79.375,1024.4,1026.8,1026.0875,0.0,0.0,34.675713,3.2399998,21.96,9.614999000000001,1.6848617,8.365129,5.972009,1
