,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,precipipitation,snowfall,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
875,-0.76947135,3.3105285,1.0546954,64,96,84.625,1020.9,1025.2,1023.4209,1.3000001,0.90999997,29.361702,4.32,34.2,17.07,0.5956885000000001,24.601285999999998,10.591944999999999
877,1.3505287,4.0505285,2.7234452,71,92,85.25,1021.5,1030.0,1026.525,4.6,2.17,0.0,7.92,40.32,17.67,2.9784424,17.574326,9.075889
878,1.9405286,5.150528400000001,3.3271954,64,91,82.083336,1021.1,1024.3,1023.2416400000001,2.2,0.90999997,105.95745,16.199999,33.839996,22.589998,7.501892,20.547369,12.4448595
879,1.3405286,6.5705285,3.6530282,60,94,78.333336,1006.6,1024.1,1018.125,1.5,0.28,118.46808,12.959999,45.36,26.789998999999998,8.258399,21.208517,14.125004999999998
880,1.5505286,7.3405285000000005,4.9171949999999995,62,93,75.416664,977.9,1006.2,996.46246,3.8999998999999996,1.05,40.49078,25.919998,62.639996,44.324996999999996,10.685928,30.150314,23.647125
881,-0.41947132,5.500528299999999,2.7355282,59,88,77.958336,976.1,981.4,978.45,1.6000001,0.14,150.00888,37.079997999999996,52.56,44.099995,18.920026999999997,31.023876,24.688341
882,0.86052865,5.230528400000001,2.566779,65,92,77.875,980.6,987.3,983.0292400000001,2.1,0.7,7.021275999999999,20.16,50.399998,30.705004,9.770017999999999,25.92306,16.31325
883,0.43052867,3.6205285000000003,1.5371952,65,91,81.375,986.1,996.6,990.6791400000001,1.4000001,0.97999996,103.96384,30.599998,51.839996,40.589996,12.061772,34.49031,23.227446
884,-0.26947135,3.0505285,1.3134451999999999,71,95,85.125,995.1,1004.9,1001.96246,5.0,3.3600001000000006,19.506386,15.84,51.12,31.230001,7.478204700000001,33.375572,19.726448
907,2.0605285,8.200529,4.844695,48,89,70.25,1017.2,1021.3,1019.0791,0.5,0.35,566.1507,2.52,27.359999,13.005,1.8837326,11.605993,7.5657163
1046,1.6905286,4.6105285,3.0826118,74,83,78.416664,1009.6,1021.7,1016.81244,0.4,0.28,123.37465,19.8,63.0,44.955,9.112282,36.52401,25.693626000000002
1047,-1.6494713,5.010528599999999,1.2380285,54,93,82.25,1007.9,1020.6,1012.7751,2.6,0.63,32.933296,10.08,46.8,24.645001999999998,5.2542295,24.314018,12.438728
1048,-0.029471342,4.020529,1.6459453999999998,62,92,79.958336,1011.1,1015.7,1013.17084,0.3,0.21000001,7.659573599999999,42.12,62.639996,50.939987,25.01608,39.22237,29.989440000000002
1049,-0.8094713000000001,3.3105285,1.233862,62,93,82.166664,1016.1,1025.5,1022.27075,1.0,0.7,178.72339,13.32,40.68,25.364998,9.266738,27.502495,16.042382999999997
1050,-2.5694714,2.0905285,-0.16822135,52,95,75.666664,1023.4,1027.5,1025.5667,1.4,0.97999996,430.20987,7.2,41.399998,28.32,3.8142671999999997,26.978835999999998,16.990728
1052,-0.18947133,5.9605284,2.4792786,68,93,82.791664,1013.1,1015.6,1014.4873699999999,1.4000001,0.98,0.0,7.2,23.039998999999998,15.734998000000001,0.0,12.523634,6.9075265
1076,0.40052867,7.740528599999999,4.081362,51,92,74.25,993.2,1009.1,1002.3916,2.6,0.14,197.72873,7.559999499999999,33.48,18.33,2.028842,17.285234,7.5623603
1089,1.9805287,5.500528299999999,3.379695,69,94,85.083336,1009.1,1016.2,1012.0,5.800000700000001,1.19,0.0,6.8399997,26.64,16.289998999999998,2.4560864,16.525389999999998,9.668185000000001
1093,0.72052866,4.6605287,2.6963623,85,96,90.958336,1007.2,1019.0,1011.25415,15.300001000000002,0.98,0.0,18.72,41.399998,28.305,13.628123,22.380772,17.329962
1218,-0.82947135,4.510528599999999,2.1226118,68,95,81.916664,1022.9,1031.3,1025.4459,1.5,1.05,0.0,11.519999499999999,25.919998,18.539998999999998,1.9210378000000001,14.920779000000001,7.9308085
1220,-0.11947135,3.2905285,1.7384453000000002,68,89,79.916664,1021.0,1029.0,1024.6208,0.3,0.21000001,0.0,23.759998,48.6,37.815,8.607647,30.388287,20.768019
1224,-1.4994713,2.8605285,0.31094524,66,89,79.5,1031.6,1034.5,1032.9,0.70000005,0.42,69.57446999999999,6.4799995,38.519997,24.839994,7.212506299999999,25.047266,17.345602
1226,-0.82947135,3.1905286,1.6030287,72,99,85.958336,1009.8,1021.5,1013.46655,6.6000004,2.24,0.0,8.28,28.8,17.654997,5.1243067,21.408352,9.908511
1229,0.36052868,8.490528999999999,2.6155283,66,89,75.583336,995.9,1009.0,1005.2,1.2,0.63,158.05408,31.68,76.32,54.315,16.019479999999998,43.95923,31.802862
1230,-1.4094714,1.9805287,0.3967786,73,94,83.5,1007.3,1019.2,1015.37085,2.5,1.12,53.229076,27.359999,62.27999499999999,47.460003,15.013241,42.65396,30.440240000000003
1231,-1.6994714,2.0805285,-0.14780472,65,95,84.916664,1018.0,1024.6,1022.5708599999999,3.4,2.38,127.74965,3.2399998,39.96,20.76,2.3827540000000003,25.312206,13.432352999999999
1375,1.0105287,8.490528999999999,4.6484456,60,88,78.375,1012.2,1015.4,1014.0751300000001,2.1,0.07,44.221275,39.96,84.6,51.794994,20.248151999999997,44.068874,29.078125
1383,1.2705287,4.480528400000001,3.2934455999999996,70,88,80.5,999.9,1020.4,1010.12494,1.1,0.35,17.465248000000003,15.84,27.0,20.819996,7.348971000000001,17.215294,11.861652000000001
1384,-0.17947134,3.2705286,1.0746951999999999,66,94,83.333336,1020.1,1030.1,1025.4415,0.9,0.63,378.1766,12.959999,29.88,20.205,6.415762,17.316,12.141639999999999
1385,-0.27947134,3.7205286,1.8659452,59,96,84.166664,1020.3,1029.9,1024.8625,3.7999997000000003,2.52,0.0,11.159999000000001,52.56,26.534997999999998,3.4734309000000003,39.159893,16.891197000000002
1387,1.5805286,5.230528400000001,3.4301120000000003,77,93,84.666664,1034.3,1037.3,1035.5416,1.9,1.33,0.0,2.16,16.199999,7.305001,0.5328,7.6887669999999995,4.357695
1395,-0.9294713,2.5505285,0.771362,64,89,79.0,988.6,1008.7,999.14575,0.1,0.07,340.29535,26.28,56.88,42.419994,14.774998000000002,36.676224,27.741186
1418,2.3005285,7.9305286,4.521362,60,87,76.833336,996.9,1016.1,1008.35425,0.70000005,0.07,0.0,33.839996,68.4,44.56499,15.852478,33.210373,22.50173
1430,2.0205286,8.560528999999999,5.299696,56,91,70.666664,1003.3,1005.5,1004.44574,5.6000004,0.84000003,270.79504,24.48,51.839996,34.094997,8.986805,27.284874,17.015413
1432,0.20052865,4.500528299999999,1.7892786,57,95,76.125,1005.3,1007.5,1006.4501300000001,0.3,0.21000001,435.13052000000005,10.08,24.119999,16.56,6.0102577,15.444308,9.207796
1436,0.7605287,3.8005285000000004,2.0717788,72,94,81.708336,1007.7,1015.3,1010.75,1.5,1.05,0.0,3.6,21.599998,13.830001000000001,3.3697233,15.268694,9.82567
1439,-0.47947133,5.100528700000001,2.2126113999999997,58,91,74.375,1014.1,1018.5,1016.63745,0.2,0.14,408.5601,12.959999,30.960001000000002,19.964998,4.1698194,21.111256,12.761384
1441,-0.26947135,4.0505285,1.8796950000000001,55,92,71.541664,1010.2,1021.1,1016.5041,1.0,0.63,345.94183,15.84,27.72,22.485,7.1730394,17.616674,12.308045
1446,0.68052864,11.580528999999999,4.6663613,75,94,87.666664,1013.2,1024.9,1018.85004,10.000001,0.49,0.0,12.959999,33.839996,23.189997,3.9603205000000004,16.039404,11.312828
1585,0.26052865,3.0905285,1.8521951,75,94,84.958336,1032.2,1036.6,1033.7084,1.8,0.07,0.0,17.64,39.6,29.910002000000002,10.444103,29.613571000000004,20.815154999999997
1586,1.2905287,5.4605284,3.0442789,66,90,82.333336,1031.6,1034.6,1032.8624,0.6,0.14,0.0,9.0,28.44,21.074999,4.897704,20.497227,13.823395999999999
1588,2.3805285,5.8005285,4.2992787,77,86,82.0,1019.3,1031.5,1023.2751,2.0,0.35,0.0,17.64,52.199996999999996,42.6,11.964296000000001,32.238803999999995,25.006826
1589,0.61052865,3.8705285000000003,2.6938617000000002,60,93,76.458336,1015.1,1019.1,1016.7251,0.4,0.28,77.872345,30.599998,42.839996,38.999990000000004,18.234295,27.655604999999998,23.0747
1590,-1.3294713,2.7005286,0.38219535,70,92,83.416664,1018.3,1026.8,1022.5916,0.2,0.14,0.0,7.92,32.760002,25.019999,2.1477854,22.417208,18.200579
1591,-1.4994713,3.7005286,0.5155286,53,89,75.916664,1026.3,1029.2,1027.7709,0.2,0.14,11.391843,1.4399998999999999,29.16,10.935,0.5956885000000001,21.333633,6.1155934
1598,-2.0194714,3.9105287000000004,1.1888618,49,93,75.041664,1014.7,1022.4,1019.19574,1.4000001,0.98,306.51062,4.32,27.72,16.68,1.1913770000000001,15.923945000000002,9.869163
1604,-3.7494714,0.5705286999999999,-1.4536381,61,92,80.166664,1000.4,1015.3,1007.8001,0.4,0.28,246.5766,5.7599998,19.44,13.965001,3.5542190000000002,15.814379999999998,9.094209
1606,-0.04947134,8.490528999999999,4.334278599999999,68,91,79.5,1007.3,1019.6,1014.49585,1.1,0.07,259.04602,14.759998999999999,41.760002,28.229998,1.9394212,27.810425,13.800549499999999
1608,1.2705287,3.5805285000000002,2.3101118,72,89,82.791664,997.8,1006.7,1000.3915400000001,1.5,1.05,0.0,34.2,55.8,47.59499,21.32698,39.004635,30.59262
1609,-0.7294713,5.170528400000001,1.9363618000000002,48,89,75.291664,996.5,1010.0,1005.6792,0.1,0.07,333.4,13.679998999999999,33.839996,24.044998,6.665325599999999,21.087711,14.879578
1610,-0.30947134,2.7805285,1.3946954,52,83,68.875,990.4,1000.7,995.6791400000001,0.5,0.35000002,306.12622000000005,29.88,74.88,51.344997,11.760889,52.823161999999996,32.879536
1622,1.2705287,6.0705285,3.7742788999999997,65,87,77.833336,1009.1,1030.4,1020.31244,0.4,0.14,264.14044,19.08,52.92,34.425,9.649417999999999,29.5812,18.980732
